id;word;slog
105;AVTOVOKZAL;AV-TO-VOK-ZAL
106;AVTOGEN;AV-TO-GEN
107;AVTOGRAF;AV-TO-GRAF
108;AVTODROM;AV-TO-DROM
109;AVTODO‘KON;AV-TO-DO‘-KON
110;AVTOZAVOD;AV-TO-ZA-VOD
111;AVTOINSPEKSIYA;AV-TO-INS-PEK-SI-YA
112;AVTOKAR;AV-TO-KAR
113;AVTOKACHKA;AV-TO-KACH-KA
114;AVTOKOLONNA;AV-TO-KO-LON-NA
115;AVTOKORXONA;AV-TO-KOR-XO-NA
116;AVTOKRAN;AV-TO-KRAN
117;AVTOL;AV-TOL
118;AVTOLAVKA;AV-TO-LAV-KA
119;AVTOMAT;AV-TO-MAT
120;AVTOMATIZM;AV-TO-MA-TIZM
121;AVTOMATIK;AV-TO-MA-TIK
122;AVTOMATIKA;AV-TO-MA-TI-KA
123;AVTOMATLASHMOQ;AV-TO-MAT-LASH-MOQ
124;AVTOMATLASHTIRMOQ;AV-TO-MAT-LASH-TIR-MOQ
125;AVTOMATCHI;AV-TO-MAT-CHI
126;AVTOMASHINA;AV-TO-MA-SHI-NA
127;AVTOMOBILSOZ;AV-TO-MO-BIL-SOZ
128;AVTOMOBILSOZLIK;AV-TO-MO-BIL-SOZ-LIK
129;AVTOMOBIL;AV-TO-MO-BIL
130;AVTONAZORAT;AV-TO-NA-ZO-RAT
131;AVTONOM;AV-TO-NOM
132;AVTONOMIYA;AV-TO-NO-MI-YA
133;AVTONOMIYALI;AV-TO-NO-MI-YA-LI
134;AVTONOMIYACHI;AV-TO-NO-MI-YA-CHI
135;AVTOPARK;AV-TO-PARK
136;AVTOPILOT;AV-TO-PI-LOT
137;AVTOPOYGA;AV-TO-POY-GA
138;AVTOPORTRET;AV-TO-POR-TRET
139;AVTOPRISEP;AV-TO-PRI-SEP
140;AVTOR;AV-TOR
141;AVTORALLI;AV-TO-RAL-LI
142;AVTOREMONT;AV-TO-RE-MONT
143;AVTOREFERAT;AV-TO-RE-FE-RAT
144;AVTORITAR;AV-TO-RI-TAR
145;AVTORITARIZM;AV-TO-RI-TA-RIZM
146;AVTORLIK;AV-TOR-LIK
147;AVTORUCHKA;AV-TO-RUCH-KA
148;AVTOSALON;AV-TO-SA-LON
149;AVTOSAROY;AV-TO-SA-ROY
150;AVTOSTANSIYA;AV-TO-STAN-SI-YA
151;AVTOSTOP;AV-TO-STOP
152;AVTOSUG‘ORGICH;AV-TO-SU-G‘OR-GICH
153;AVTOTRANSPORT;AV-TO-TRANS-PORT
154;AVTOUY;AV-TO-UY
155;AG‘ANAMOQ;A-G‘A-NA-MOQ
156;AGAR;A-GAR
157;AGARDA;A-GAR-DA
158;AG‘DAR;AG‘-DAR
159;AG‘DARMA;AG‘-DAR-MA
160;AG‘DARMOQ;AG‘-DAR-MOQ
161;AGENT;A-GENT
162;AGENTLIK;A-GENT-LIK
163;AGENTURA;A-GEN-TU-RA
164;AG‘YOR;AG‘-YOR
165;AGITATOR;A-GI-TA-TOR
166;AGITASION;A-GI-TA-SI-ON
167;AGITASIYA;A-GI-TA-SI-YA
168;AG‘NAMOQ;AG‘-NA-MOQ
169;AGNOZIYA;AG-NO-ZI-YA
170;AGNOSTIK;AG-NOS-TIK
171;AGNOSTISIZM;AG-NOS-TI-SIZM
172;AG‘RAYMOQ;AG‘-RAY-MOQ
173;AGRAR;AG-RAR
174;AGREGAT;AG-RE-GAT
175;AGREMAN;AG-RE-MAN
176;AGRESSIV;AG-RES-SIV
177;AGRESSIVLIK;AG-RES-SIV-LIK
178;AGRESSIYA;AG-RES-SI-YA
179;AGRESSIYACHI;AG-RES-SI-YA-CHI
180;AGRESSIYACHILIK;AG-RES-SI-YA-CHI-LIK
181;AGRESSOR;AG-RES-SOR
182;AGRESSORLIK;AG-RES-SOR-LIK
183;AGRO;AG-RO
184;AGROBIOLOGIK;AG-RO-BI-O-LO-GIK
185;AGROBIOLOGIYA;AG-RO-BI-O-LO-GI-YA
186;AGROKIMYO;AG-RO-KIM-YO
187;AGROMELIORASIYA;AG-RO-ME-LI-O-RA-SI-YA
188;AGROMETEOROLOGIYA;AG-RO-ME-TE-O-RO-LO-GI-YA
189;AGRONOM;AG-RO-NOM
190;AGRONOMIK;AG-RO-NO-MIK
191;AGRONOMIYA;AG-RO-NO-MI-YA
192;AGRONOMLIK;AG-RO-NOM-LIK
193;AGROSANOAT;AG-RO-SA-NO-AT
194;AGROTEXNIK;AG-RO-TEX-NIK
195;AGROTEXNIKA;AG-RO-TEX-NI-KA
196;AGROFIZIKA;AG-RO-FI-ZI-KA
197;ADA;A-DA
198;ADAB;A-DAB
199;ADABIYOT;A-DA-BI-YOT
200;ADABIYOTCHI;A-DA-BI-YOT-CHI
201;ADABIYOTSHUNOS;A-DA-BI-YOT-SHU-NOS
202;ADABIYOTSHUNOSLIK;A-DA-BI-YOT-SHU-NOS-LIK
203;ADABIY;A-DA-BIY
204;ADABLI;A-DAB-LI
205;ADABSIZ;A-DAB-SIZ
206;ADABSIZLIK;A-DAB-SIZ-LIK
207;ADAD;A-DAD
208;ADADSIZ;A-DAD-SIZ
209;ADAM;A-DAM
210;ADAPTASIYA;A-DAP-TA-SI-YA
211;ADASH;A-DASH
212;ADASHMOQ;A-DASH-MOQ
213;ADASHTIRMOQ;A-DASH-TIR-MOQ
214;ADVOKAT;AD-VO-KAT
215;ADVOKATURA;AD-VO-KA-TU-RA
216;ADEKVAT;A-DEK-VAT
217;ADENOIDLAR;A-DE-NO-ID-LAR
218;ADENOMA;A-DE-NO-MA
219;ADI;A-DI
220;ADIB;A-DIB
221;ADIBA;A-DI-BA
222;ADIBLIK;A-DIB-LIK
223;ADIGEY;A-DI-GEY
224;ADIGEYLAR;A-DI-GEY-LAR
225;ADIZ;A-DIZ
226;ADIL;A-DIL
227;ADIP;A-DIP
228;ADIPLAMOQ;A-DIP-LA-MOQ
229;ADIR;A-DIR
230;ADLIYA;AD-LI-YA
231;ADMINISTRATOR;AD-MI-NIS-TRA-TOR
232;ADMINISTRASIYA;AD-MI-NIS-TRA-SI-YA
233;ADMIRAL;AD-MI-RAL
234;ADO;A-DO
235;ADOVAT;A-DO-VAT
236;ADOYI;A-DO-YI
237;ADOQ;A-DOQ
238;ADOQLAMOQ;A-DOQ-LA-MOQ
239;ADOQSIZ;A-DOQ-SIZ
240;ADOLAT;A-DO-LAT
241;ADOLATLI;A-DO-LAT-LI
242;ADOLATPARVAR;A-DO-LAT-PAR-VAR
243;ADOLATSIZ;A-DO-LAT-SIZ
244;ADOLATSIZLIK;A-DO-LAT-SIZ-LIK
245;ADRAS;AD-RAS
246;ADRASBOF;AD-RAS-BOF
247;ADRASMAN;AD-RAS-MAN
248;ADRES;AD-RES
249;ADRESANT;AD-RE-SANT
250;ADRESAT;AD-RE-SAT
251;ADRESLANMOQ;AD-RES-LAN-MOQ
252;ADUV;A-DUV
253;ADULIQ;A-DU-LIQ
254;AYO;A-YO
255;AYOV;A-YOV
256;AYOVSIZ;A-YOV-SIZ
257;AYOZ;A-YOZ
258;AYOZLAMOQ;A-YOZ-LA-MOQ
259;AYOZLI;A-YOZ-LI
260;AYOQ;A-YOQ
261;AYOQCHI;A-YOQ-CHI
262;AYOL;A-YOL
263;AYOLMAND;A-YOL-MAND
264;AYON;A-YON
265;AYONLASHMOQ;A-YON-LASH-MOQ
266;AJAB;A-JAB
267;AJABLANMOQ;A-JAB-LAN-MOQ
268;AJABO;A-JA-BO
269;AJABSINMOQ;A-JAB-SIN-MOQ
270;AJABTOVUR;A-JAB-TO-VUR
271;AJAL;A-JAL
272;AJAM;A-JAM
273;AJAMIY;A-JA-MIY
274;AJDAR;AJ-DAR
275;AJDARGUL;AJ-DAR-GUL
276;AJDARNAFS;AJ-DAR-NAFS
277;AJDARHO;AJ-DAR-HO
278;AJDOD;AJ-DOD
279;AJI;A-JI
280;AJIB;A-JIB
281;AJIZ;A-JIZ
282;AJILLAMOQ;A-JIL-LA-MOQ
283;AJIN;A-JIN
284;AJINA;A-JI-NA
285;AJINDOR;A-JIN-DOR
286;AJIOTAJ;A-JI-O-TAJ
287;AJNABIY;AJ-NA-BIY
288;AJOYIB;A-JO-YIB
289;AJOYIBOT;A-JO-YI-BOT
290;AJOYIBXONA;A-JO-YIB-XO-NA
291;AJRALISH;AJ-RA-LISH
292;AJRALISHMOQ;AJ-RA-LISH-MOQ
293;AJRALMAS;AJ-RAL-MAS
294;AJRALMOQ;AJ-RAL-MOQ
295;AJRALUVCHAN;AJ-RA-LUV-CHAN
296;AJRAMACHILIK;AJ-RA-MA-CHI-LIK
297;AJRAMOQ;AJ-RA-MOQ
298;AJRATMA;AJ-RAT-MA
299;AJRATMOQ;AJ-RAT-MOQ
300;AJRASHMOQ;AJ-RASH-MOQ
301;AJRIQ;AJ-RIQ
302;AJRIQZOR;AJ-RIQ-ZOR
303;AJRIM;AJ-RIM
304;AJUZ;A-JUZ
305;AJUZA;A-JU-ZA
306;AZA;A-ZA
307;AZAVOZLIK;A-ZA-VOZ-LIK
308;AZADOR;A-ZA-DOR
309;AZAYIMXON;A-ZA-YIM-XON
310;AZAYIMXONLIK;A-ZA-YIM-XON-LIK
311;AZAL;A-ZAL
312;AZALGI;A-ZAL-GI
313;AZALDA;A-ZAL-DA
314;AZALDAN;A-ZAL-DAN
315;AZALI;A-ZA-LI
316;AZALIY;A-ZA-LIY
317;AZALIK;A-ZA-LIK
318;AZAMAT;A-ZA-MAT
319;AZAXONA;A-ZA-XO-NA
320;AZBAROYI;AZ-BA-RO-YI
321;AZZA;AZ-ZA
322;AZIZ;A-ZIZ
323;AZIZLAMOQ;A-ZIZ-LA-MOQ
324;AZIM;A-ZIM
325;AZIMAT;A-ZI-MAT
326;AZIMKOR;A-ZIM-KOR
327;AZIMUT;A-ZI-MUT
328;AZIYAT;A-ZI-YAT
329;AZIYATLI;A-ZI-YAT-LI
330;AZIYATSIZ;A-ZI-YAT-SIZ
331;AZM;AZM
332;AZMKOR;AZM-KOR
333;AZMOYISH;AZ-MO-YISH
334;AZOB;A-ZOB
335;AZOBLAMOQ;A-ZOB-LA-MOQ
336;AZOBLI;A-ZOB-LI
337;AZON;A-ZON
338;AZONDA;A-ZON-DA
339;AZONLAB;A-ZON-LAB
340;AZONCHI;A-ZON-CHI
341;AZOT;A-ZOT
342;AZOTLAMOQ;A-ZOT-LA-MOQ
343;AZOTLI;A-ZOT-LI
344;AZROIL;AZ-RO-IL
345;AYB;AYB
346;AYBDOR;AYB-DOR
347;AYBLAMOQ;AYB-LA-MOQ
348;AYBLANUVCHI;AYB-LA-NUV-CHI
349;AYBLI;AYB-LI
350;AYBLOV;AYB-LOV
351;AYBLOVCHI;AYB-LOV-CHI
352;AYBNOMA;AYB-NO-MA
353;AYBONA;AY-BO-NA
354;AYBSITMOQ;AYB-SIT-MOQ
355;AYVON;AY-VON
356;AYG‘IR;AY-G‘IR
357;AYG‘OQ;AY-G‘OQ
358;AYG‘OQCHI;AY-G‘OQ-CHI
359;AYG‘OQCHILIK;AY-G‘OQ-CHI-LIK
360;AYYOM;AY-YOM
361;AYYOR;AY-YOR
362;AYYORLIK;AY-YOR-LIK
363;AYYORONA;AY-YO-RO-NA
364;AYIQ;A-YIQ
365;AYIQMURUT;A-YIQ-MU-RUT
366;AYIQTOVONDOSHLAR;A-YIQ-TO-VON-DOSH-LAR
367;AYIQTOVONLAR;A-YIQ-TO-VON-LAR
368;AYIL;A-YIL
369;AYIRBOSH;A-YIR-BOSH
370;AYIRBOSHLAMOQ;A-YIR-BOSH-LA-MOQ
371;AYIRBOSHLASH;A-YIR-BOSH-LASH
372;AYIRGICH;A-YIR-GICH
373;AYIRISH;A-YI-RISH
374;AYIRMA;A-YIR-MA
375;AYIRMACHI;A-YIR-MA-CHI
376;AYIRMACHILIK;A-YIR-MA-CHI-LIK
377;AYIRMOQ;A-YIR-MOQ
378;AYIRUV;A-YI-RUV
379;AYQASH;AY-QASH
380;AYQASHMOQ;AY-QASH-MOQ
381;AYQIN;AY-QIN
382;AYQIRMOQ;AY-QIR-MOQ
383;AYLAMOQ;AY-LA-MOQ
384;AYLANA;AY-LA-NA
385;AYLANAY;AY-LA-NAY
386;AYLANIB;AY-LA-NIB
387;AYLANISH;AY-LA-NISH
388;AYLANISHMOQ;AY-LA-NISH-MOQ
389;AYLANMA;AY-LAN-MA
390;AYLANMACHOQ;AY-LAN-MA-CHOQ
391;AYLANMOQ;AY-LAN-MOQ
392;AYLANSIN;AY-LAN-SIN
393;AYLANTIRMOQ;AY-LAN-TIR-MOQ
394;AYMASHMOQ;AY-MASH-MOQ
395;AYMOQ;AY-MOQ
396;AYMOQI;AY-MO-QI
397;AYNAMA;AY-NA-MA
398;AYNAMACHI;AY-NA-MA-CHI
399;AYNAMOQ;AY-NA-MOQ
400;AYNAN;AY-NAN
401;AYNI;AY-NI
402;AYNIQSA;AY-NIQ-SA
403;AYNIMACHI;AY-NI-MA-CHI
404;AYNIMOQ;AY-NI-MOQ
405;AYNIYAT;AY-NI-YAT
406;AYRI;AY-RI
407;AYRIBOSH;AY-RI-BOSH
408;AYRILIQ;AY-RI-LIQ
409;AYRILISH;AY-RI-LISH
410;AYRILMAS;AY-RIL-MAS
411;AYRILMOQ;AY-RIL-MOQ
412;AYRILUVCHI;AY-RI-LUV-CHI
413;AYRIM;AY-RIM
414;AYRICHA;AY-RI-CHA
415;AYRO;AY-RO
416;AYROLIQ;AY-RO-LIQ
417;AYRON;AY-RON
418;AYRU;AY-RU
419;AYTAYLIK;AY-TAY-LIK
420;AYTARLI;AY-TAR-LI
421;AYTGANDAY;AYT-GAN-DAY
422;AYTGANCHA;AYT-GAN-CHA
423;AYTILISH;AY-TI-LISH
424;AYTIM;AY-TIM
425;AYTISHMOQ;AY-TISH-MOQ
426;AYTISHUV;AY-TI-SHUV
427;AYTMOQ;AYT-MOQ
428;AYTMOQCHI;AYT-MOQ-CHI
429;AYTTIRMOQ;AYT-TIR-MOQ
430;AYTUVLI;AY-TUV-LI
431;AYHAY;AY-HAY
432;AYHAYLAMOQ;AY-HAY-LA-MOQ
433;AYSH;AYSH
434;AYSHGOH;AYSH-GOH
435;AKA;A-KA
436;AKADEMIZM;A-KA-DE-MIZM
437;AKADEMIK;A-KA-DE-MIK
438;AKADEMIYA;A-KA-DE-MI-YA
439;AKAPELLA;A-KA-PEL-LA
440;AKASIYA;A-KA-SI-YA
441;AKASHAK;A-KA-SHAK
442;AKASHAKLANMOQ;A-KA-SHAK-LAN-MOQ
443;AKBAR;AK-BAR
444;AKVALANG;AK-VA-LANG
445;AKVANAVT;AK-VA-NAVT
446;AKVAREL;AK-VA-REL
447;AKVARIUM;AK-VA-RI-UM
448;AKVATORIYA;AK-VA-TO-RI-YA
449;AKILDOQ;A-KIL-DOQ
450;AKILLAMOQ;A-KIL-LA-MOQ
451;AKKLIMATIZASIYA;AK-KLI-MA-TI-ZA-SI-YA
452;AKKOMODASIYA;AK-KO-MO-DA-SI-YA
453;AKKORD;AK-KORD
454;AKKORDEON;AK-KOR-DE-ON
455;AKKORDEONCHI;AK-KOR-DE-ON-CHI
456;AKKREDITASIYA;AK-KRE-DI-TA-SI-YA
457;AKKREDITIV;AK-KRE-DI-TIV
458;AKKUMULYATOR;AK-KU-MU-LYA-TOR
459;AKOBIR;A-KO-BIR
460;AKROBAT;AK-RO-BAT
461;AKROBATIK;AK-RO-BA-TIK
462;AKROBATIKA;AK-RO-BA-TI-KA
463;AKROBATCHI;AK-RO-BAT-CHI
464;AKS;AKS
465;AKSA;AK-SA
466;AKSAR;AK-SAR
467;AKSARI;AK-SA-RI
468;AKSARIYAT;AK-SA-RI-YAT
469;AKSIGA;AK-SI-GA
470;AKSILINQILOB;AK-SIL-IN-QI-LOB
471;AKSILINQILOBIY;AK-SIL-IN-QI-LO-BIY
472;AKSILINQILOBCHI;AK-SIL-IN-QI-LOB-CHI
473;AKSILHARAKAT;AK-SIL-HA-RA-KAT
474;AKSILHARAKATCHI;AK-SIL-HA-RA-KAT-CHI
475;AKSINCHA;AK-SIN-CHA
476;AKSIOMA;AK-SI-O-MA
477;AKSIRISH;AK-SI-RISH
478;AKSIRMOQ;AK-SIR-MOQ
479;AKSICHA;AK-SI-CHA
480;AKSLANMOQ;AKS-LAN-MOQ
481;AKSLIK;AKS-LIK
482;AKTYOR;AK-TYOR
483;AKTYORLIK;AK-TYOR-LIK
484;AKTIV;AK-TIV
485;AKTIVLASHMOQ;AK-TIV-LASH-MOQ
486;AKTRISA;AK-TRI-SA
487;AKTUAL;AK-TU-AL
488;AKTUARIY;AK-TU-A-RIY
489;AKULA;A-KU-LA
490;AKUSTIK;A-KUS-TIK
491;AKUSTIKA;A-KUS-TI-KA
492;AKUSHER;A-KU-SHER
493;AKUSHERKA;A-KU-SHER-KA
494;AKUSHERLIK;A-KU-SHER-LIK
495;AKSENT;AK-SENT
496;AKSIONER;AK-SI-O-NER
497;AKSIONERLIK;AK-SI-O-NER-LIK
498;AKSIYA;AK-SI-YA
499;AKSIYADOR;AK-SI-YA-DOR
500;AKSIYADORLIK;AK-SI-YA-DOR-LIK
501;AQALLI;A-QAL-LI
502;AQIDA;A-QI-DA
503;AQIDAVIY;A-QI-DA-VIY
504;AQIDAPARAST;A-QI-DA-PA-RAST
505;AQIDAPARASTLIK;A-QI-DA-PA-RAST-LIK
506;AQIQ;A-QIQ
507;AQIQA;A-QI-QA
508;AQIRMOQ;A-QIR-MOQ
509;AQL;AQL
510;AQLAN;AQ-LAN
511;AQLIY;AQ-LIY
512;AQLLASHMOQ;AQL-LASH-MOQ
513;AQLLI;AQL-LI
514;AQLLILIK;AQL-LI-LIK
515;AQLSIZ;AQL-SIZ
516;AQRAB;AQ-RAB
517;AQRABO;AQ-RA-BO
518;AQCHA;AQ-CHA
519;ALAG‘DA;A-LAG‘-DA
520;ALAY;A-LAY
521;ALAYKUM;A-LAY-KUM
522;ALAYNO;A-LAY-NO
523;ALAK;A-LAK
524;ALAQ;A-LAQ
525;ALALABAD;A-LAL-A-BAD
526;ALALOQIBAT;A-LAL-O-QI-BAT
527;ALALXUSUS;A-LAL-XU-SUS
528;ALAM;A-LAM
529;ALAMANGIZ;A-LA-MAN-GIZ
530;ALAMDIYDA;A-LAM-DIY-DA
531;ALAMDOR;A-LAM-DOR
532;ALAMZADA;A-LAM-ZA-DA
533;ALAMLANMOQ;A-LAM-LAN-MOQ
534;ALAMLI;A-LAM-LI
535;ALAMON;A-LA-MON
536;ALANG;A-LANG
537;ALANGA;A-LAN-GA
538;ALANGALANMOQ;A-LAN-GA-LAN-MOQ
539;ALANGALI;A-LAN-GA-LI
540;ALANGLAMOQ;A-LANG-LA-MOQ
541;ALAS;A-LAS
542;ALASLAMOQ;A-LAS-LA-MOQ
543;ALAST;A-LAST
544;ALAXSIMOQ;A-LAX-SI-MOQ
545;ALAHLAMOQ;A-LAH-LA-MOQ
546;ALAHLASH;A-LAH-LASH
547;ALAHSIRAMOQ;A-LAH-SI-RA-MOQ
548;ALACHA;A-LA-CHA
549;ALACHABOF;A-LA-CHA-BOF
550;ALBAN;AL-BAN
551;ALBANLAR;AL-BAN-LAR
552;ALBAT;AL-BAT
553;ALBATTA;AL-BAT-TA
554;ALVASTI;AL-VAS-TI
555;ALVIDO;AL-VI-DO
556;ALVON;AL-VON
557;ALGEBRA;AL-GE-BRA
558;ALGEBRAIK;AL-GE-BRA-IK
559;ALG‘OV;AL-G‘OV
560;ALG‘OV;AL-G‘OV
561;ALGORITM;AL-GO-RITM
562;ALDAB;AL-DAB
563;ALDAM;AL-DAM
564;ALDAMOQ;AL-DA-MOQ
565;ALDAMCHI;AL-DAM-CHI
566;ALDAMCHILIK;AL-DAM-CHI-LIK
567;ALDOQCHI;AL-DOQ-CHI
568;ALDOQCHILIK;AL-DOQ-CHI-LIK
569;ALYO;AL-YO
570;ALYOR;AL-YOR
571;ALYORCHI;AL-YOR-CHI
572;ALEUT;A-LE-UT
573;ALEUTLAR;A-LE-UT-LAR
574;ALJIMOQ;AL-JI-MOQ
575;ALJIRAMOQ;AL-JI-RA-MOQ
576;ALI;A-LI
577;ALIBI;A-LI-BI
578;ALIZARIN;A-LI-ZA-RIN
579;ALIK;A-LIK
580;ALIKLASHMOQ;A-LIK-LASH-MOQ
581;ALIMENT;A-LI-MENT
582;ALIF;A-LIF
583;ALIFBE;A-LIF-BE
584;ALIFBO;A-LIF-BO
585;ALIFLAMOQ;A-LIF-LA-MOQ
586;ALIFMOY;A-LIF-MOY
587;ALISH;A-LISH
588;ALISHINMOQ;A-LI-SHIN-MOQ
589;ALISHMOQ;A-LISH-MOQ
590;ALKALOID;AL-KA-LO-ID
591;ALKALOIDLAR;AL-KA-LO-ID-LAR
592;ALKASH;AL-KASH
593;ALKIMYO;AL-KIM-YO
594;ALKOGOLIZM;AL-KO-GO-LIZM
595;ALKOGOLIK;AL-KO-GO-LIK
596;ALKOGOL;AL-KO-GOL
597;ALQAMOQ;AL-QA-MOQ
598;ALQISSA;AL-QIS-SA
599;ALQOR;AL-QOR
600;ALLA;AL-LA
601;ALLAVAQT;AL-LA-VAQT
602;ALLAKIM;AL-LA-KIM
603;ALLAQAYSI;AL-LA-QAY-SI
604;ALLAQANDAY;AL-LA-QAN-DAY
605;ALLAQANCHA;AL-LA-QAN-CHA
606;ALLAQACHON;AL-LA-QA-CHON
607;ALLALAMOQ;AL-LA-LA-MOQ
608;ALLAMAHAL;AL-LA-MA-HAL
609;ALLANARSA;AL-LA-NAR-SA
610;ALLANECHA;AL-LA-NE-CHA
611;ALLANECHUK;AL-LA-NE-CHUK
612;ALLANIMA;AL-LA-NI-MA
613;ALLEGORIK;AL-LE-GO-RIK
614;ALLEGORIYA;AL-LE-GO-RI-YA
615;ALLERGEN;AL-LER-GEN
616;ALLERGIK;AL-LER-GIK
617;ALLERGIYA;AL-LER-GI-YA
618;ALLERGOLOGIK;AL-LER-GO-LO-GIK
619;ALLERGOLOGIYA;AL-LER-GO-LO-GI-YA
620;ALLIGATOR;AL-LI-GA-TOR
621;ALLITERASIYA;AL-LI-TE-RA-SI-YA
622;ALLO;AL-LO
623;ALLOMA;AL-LO-MA
624;ALLOF;AL-LOF
625;ALLOH;AL-LOH
626;ALMANAX;AL-MA-NAX
627;ALMASHINMOQ;AL-MA-SHIN-MOQ
628;ALMASHINUV;AL-MA-SHI-NUV
629;ALMASHLAMOQ;AL-MASH-LA-MOQ
630;ALMASHMOQ;AL-MASH-MOQ
631;ALMASHTIRMOQ;AL-MASH-TIR-MOQ
632;ALMISOQ;AL-MI-SOQ
633;ALMISOQI;AL-MI-SO-QI
634;ALMOYI;AL-MO-YI
635;ALO;A-LO
636;ALOY;A-LOY
637;ALOQ;A-LOQ
638;ALOQA;A-LO-QA
639;ALOQADOR;A-LO-QA-DOR
640;ALOQALI;A-LO-QA-LI
641;ALOQACHI;A-LO-QA-CHI
642;ALOMAT;A-LO-MAT
643;ALOHIDA;A-LO-HI-DA
644;ALOHOL;A-LO-HOL
645;ALOE;A-LO-E
646;ALPANG;AL-PANG
647;ALPOZDA;AL-POZ-DA
648;ALPON;AL-PON
649;ALFAVIT;AL-FA-VIT
650;ALFOZ;AL-FOZ
651;ALFOZDA;AL-FOZ-DA
